asyncio - DEBUG - Using selector: KqueueSelector
root - INFO - Track: 4JiEyzf0Md7KEFFGWDDdCr. Link: https://api.spotify.com/v1/tracks/4JiEyzf0Md7KEFFGWDDdCr
root - INFO - Track: 0rFWuqFgHAfuzE8uSB9TWR. Link: https://api.spotify.com/v1/tracks/0rFWuqFgHAfuzE8uSB9TWR
root - INFO - Track: 6i4Qi1mJxXjqNIL9HfJhRs. Link: https://api.spotify.com/v1/tracks/6i4Qi1mJxXjqNIL9HfJhRs
root - INFO - Track: 6MtXDDHNC16r4RpdYhufO8. Link: https://api.spotify.com/v1/tracks/6MtXDDHNC16r4RpdYhufO8
root - INFO - Track: 1OEoNpiyqBghuEUaT6Je6U. Link: https://api.spotify.com/v1/tracks/1OEoNpiyqBghuEUaT6Je6U
root - INFO - Track: 7m9XR7FquXLP1FewdAcNS9. Link: https://api.spotify.com/v1/tracks/7m9XR7FquXLP1FewdAcNS9
root - INFO - Track: 0dlTGl67UFWcKupzkxZYOn. Link: https://api.spotify.com/v1/tracks/0dlTGl67UFWcKupzkxZYOn
root - INFO - Track: 7CBFRsUz1pz1cS12soVhih. Link: https://api.spotify.com/v1/tracks/7CBFRsUz1pz1cS12soVhih
root - INFO - Track: 11VGhd5i7deLL0YB0ayicY. Link: https://api.spotify.com/v1/tracks/11VGhd5i7deLL0YB0ayicY
root - INFO - Track: 65G4Ib3w7tgLjUkO5GseN0. Link: https://api.spotify.com/v1/tracks/65G4Ib3w7tgLjUkO5GseN0
root - INFO - Track: 3s03nrUInN3NAVjQtmnS0O. Link: https://api.spotify.com/v1/tracks/3s03nrUInN3NAVjQtmnS0O
root - INFO - Track: 0LwZjpeiM0f28VpFvqOSYQ. Link: https://api.spotify.com/v1/tracks/0LwZjpeiM0f28VpFvqOSYQ
root - INFO - Track: 58YL9Jo1T0wyijCOZWRmyL. Link: https://api.spotify.com/v1/tracks/58YL9Jo1T0wyijCOZWRmyL
root - INFO - Track: 3q9npStSssk7sZWotiNQLK. Link: https://api.spotify.com/v1/tracks/3q9npStSssk7sZWotiNQLK
root - INFO - Track: 5tVA6TkbaAH9QMITTQRrNv. Link: https://api.spotify.com/v1/tracks/5tVA6TkbaAH9QMITTQRrNv
root - INFO - Track: 3dmqIB2Qxe2XZobw9gXxJ6. Link: https://api.spotify.com/v1/tracks/3dmqIB2Qxe2XZobw9gXxJ6
root - INFO - Track: 7gSQv1OHpkIoAdUiRLdmI6. Link: https://api.spotify.com/v1/tracks/7gSQv1OHpkIoAdUiRLdmI6
root - INFO - Track: 7MooGz4ZPE4bNxjFegR6Jx. Link: https://api.spotify.com/v1/tracks/7MooGz4ZPE4bNxjFegR6Jx
root - INFO - Track: 5yAu4njFSdM47dfsTkQPZ2. Link: https://api.spotify.com/v1/tracks/5yAu4njFSdM47dfsTkQPZ2
root - INFO - Track: 5x53pbGk6sbl1BGom19QQ5. Link: https://api.spotify.com/v1/tracks/5x53pbGk6sbl1BGom19QQ5
root - INFO - Track: 4AiMaeCXwsldpwvA5wu5gM. Link: https://api.spotify.com/v1/tracks/4AiMaeCXwsldpwvA5wu5gM
root - INFO - Track: 2Pr1nZpt8A8WP7QYpyq6L3. Link: https://api.spotify.com/v1/tracks/2Pr1nZpt8A8WP7QYpyq6L3
